year,murder_rate,country_name
2012,38.68367106,Jamaica
2013,42.11364935,Jamaica
2014,35.11423657,Jamaica
2015,42.06224795,Jamaica
2016,47.01105843,Jamaica
1995,64.91652658,South Africa
1996,60.39016743,South Africa
1997,57.11239533,South Africa
1998,57.74168141,South Africa
1999,51.21287095,South Africa
2000,47.58102283,South Africa
2001,46.14637756,South Africa
2002,45.83192428,South Africa
2003,41.60446931,South Africa
2004,38.95132577,South Africa
2005,37.95120362,South Africa
2006,38.70386262,South Africa
2007,36.88322257,South Africa
2008,35.87231954,South Africa
2009,32.89529315,South Africa
2010,30.80954508,South Africa
2011,29.76072257,South Africa
2012,30.59159749,South Africa
2013,31.66045088,South Africa
2014,32.64602136,South Africa
2015,33.7720859,South Africa
2016,33.97095703,South Africa
1995,20.33591335,"Venezuela, RB"
1996,22.04962584,"Venezuela, RB"
1997,18.39978807,"Venezuela, RB"
1998,19.42424157,"Venezuela, RB"
1999,24.98512426,"Venezuela, RB"
2000,32.75844749,"Venezuela, RB"
2001,31.90575649,"Venezuela, RB"
2002,37.84924061,"Venezuela, RB"
2003,43.8447916,"Venezuela, RB"
2004,36.91615808,"Venezuela, RB"
2005,37.2010906,"Venezuela, RB"
2006,44.99770331,"Venezuela, RB"
2007,47.50836569,"Venezuela, RB"
2008,51.84121599,"Venezuela, RB"
2009,48.9202854,"Venezuela, RB"
2010,45.0598909,"Venezuela, RB"
2011,47.84937297,"Venezuela, RB"
2012,53.76495162,"Venezuela, RB"
2013,,"Venezuela, RB"
2014,61.90957766,"Venezuela, RB"
2015,,"Venezuela, RB"
2016,56.33331991,"Venezuela, RB"
1995,,Virgin Islands (U.S.)
1996,,Virgin Islands (U.S.)
1997,,Virgin Islands (U.S.)
1998,,Virgin Islands (U.S.)
1999,24.9,Virgin Islands (U.S.)
2000,21.15487206,Virgin Islands (U.S.)
2001,25.76133959,Virgin Islands (U.S.)
2002,37.76817709,Virgin Islands (U.S.)
2003,28.61045481,Virgin Islands (U.S.)
2004,34.23200044,Virgin Islands (U.S.)
2005,34.32504894,Virgin Islands (U.S.)
2006,40.01042132,Virgin Islands (U.S.)
2007,40.13402899,Virgin Islands (U.S.)
2008,43.07196764,Virgin Islands (U.S.)
2009,46.96202651,Virgin Islands (U.S.)
2010,52.75603162,Virgin Islands (U.S.)
2011,42.51580171,Virgin Islands (U.S.)
2012,49.26248378,Virgin Islands (U.S.)
2013,,Virgin Islands (U.S.)
2014,,Virgin Islands (U.S.)
2015,,Virgin Islands (U.S.)
2016,,Virgin Islands (U.S.)
1995,,Lesotho
1996,,Lesotho
1997,,Lesotho
1998,,Lesotho
1999,,Lesotho
2000,,Lesotho
2001,,Lesotho
2002,,Lesotho
2003,,Lesotho
2004,,Lesotho
2005,,Lesotho
2006,,Lesotho
2007,45.14986982,Lesotho
2008,37.60131605,Lesotho
2009,35.80610031,Lesotho
2010,37.44086769,Lesotho
2011,34.49334986,Lesotho
2012,30.67091306,Lesotho
2013,31.07642013,Lesotho
2014,,Lesotho
2015,41.24811176,Lesotho
2016,,Lesotho
1995,32.54897947,Guatemala
1996,35.31962208,Guatemala
1997,38.14334092,Guatemala
1998,30.86778386,Guatemala
1999,24.19285615,Guatemala
2000,24.92544896,Guatemala
2001,27.08607653,Guatemala
2002,29.74072574,Guatemala
2003,33.89470387,Guatemala
2004,35.21939841,Guatemala
2005,40.76045042,Guatemala
2006,43.92771879,Guatemala
2007,42.19619941,Guatemala
2008,44.92243027,Guatemala
2009,45.38911421,Guatemala
2010,40.73704803,Guatemala
2011,38.00274789,Guatemala
2012,33.75667013,Guatemala
2013,33.6812511,Guatemala
2014,31.38745553,Guatemala
2015,29.3986825,Guatemala
2016,27.25501908,Guatemala
1995,,Belize
1996,,Belize
1997,,Belize
1998,,Belize
1999,,Belize
2000,16.57804824,Belize
2001,25.09961409,Belize
2002,33.18001876,Belize
2003,24.89503214,Belize
2004,28.61396144,Belize
2005,28.59392044,Belize
2006,31.64263088,Belize
2007,32.50593987,Belize
2008,33.64199043,Belize
2009,30.898706400000002,Belize
2010,40.11094251,Belize
2011,37.66798707,Belize
2012,43.06491516,Belize
2013,28.76393525,Belize
2014,34.97358499,Belize
2015,33.12106166,Belize
2016,37.59916781,Belize
1995,,Trinidad and Tobago
1996,,Trinidad and Tobago
1997,,Trinidad and Tobago
1998,,Trinidad and Tobago
1999,,Trinidad and Tobago
2000,9.463841815,Trinidad and Tobago
2001,11.86752385,Trinidad and Tobago
2002,13.38198847,Trinidad and Tobago
2003,17.83416871,Trinidad and Tobago
2004,20.14668335,Trinidad and Tobago
2005,29.76250141,Trinidad and Tobago
2006,28.46960888,Trinidad and Tobago
2007,29.864198100000003,Trinidad and Tobago
2008,41.58519415,Trinidad and Tobago
2009,38.36206831,Trinidad and Tobago
2010,35.61478804,Trinidad and Tobago
2011,26.37122899,Trinidad and Tobago
2012,28.32464214,Trinidad and Tobago
2013,30.26149492,Trinidad and Tobago
2014,29.90048675,Trinidad and Tobago
2015,30.88026398,Trinidad and Tobago
2016,,Trinidad and Tobago
1995,9.276222722,St. Kitts and Nevis
1996,9.150386604,St. Kitts and Nevis
1997,15.80064105,St. Kitts and Nevis
1998,17.82213509,St. Kitts and Nevis
1999,13.19290222,St. Kitts and Nevis
2000,6.611715961,St. Kitts and Nevis
2001,13.04631442,St. Kitts and Nevis
2002,10.72018181,St. Kitts and Nevis
2003,21.13896757,St. Kitts and Nevis
2004,22.93052052,St. Kitts and Nevis
2005,16.45718047,St. Kitts and Nevis
2006,34.54582402,St. Kitts and Nevis
2007,32.13948537,St. Kitts and Nevis
2008,45.69657474,St. Kitts and Nevis
2009,53.05978069,St. Kitts and Nevis
2010,40.82029352,St. Kitts and Nevis
2011,65.37707188,St. Kitts and Nevis
2012,34.22638855,St. Kitts and Nevis
2013,,St. Kitts and Nevis
2014,,St. Kitts and Nevis
2015,,St. Kitts and Nevis
2016,,St. Kitts and Nevis
1995,,Brazil
1996,,Brazil
1997,,Brazil
1998,,Brazil
1999,,Brazil
2000,23.72957362,Brazil
2001,24.73954663,Brazil
2002,25.30378561,Brazil
2003,25.66147675,Brazil
2004,24.02267725,Brazil
2005,23.3496643,Brazil
2006,23.85354439,Brazil
2007,23.36061646,Brazil
2008,23.77719498,Brazil
2009,22.84192642,Brazil
2010,21.98822174,Brazil
2011,24.20091677,Brazil
2012,26.45280214,Brazil
2013,26.75923426,Brazil
2014,27.95657613,Brazil
2015,28.38337623,Brazil
2016,29.527956500000002,Brazil
1995,,"Bahamas, The"
1996,,"Bahamas, The"
1997,,"Bahamas, The"
1998,,"Bahamas, The"
1999,,"Bahamas, The"
2000,24.8413844,"Bahamas, The"
2001,14.18509905,"Bahamas, The"
2002,16.81993291,"Bahamas, The"
2003,15.83551336,"Bahamas, The"
2004,13.64231101,"Bahamas, The"
2005,15.79351798,"Bahamas, The"
2006,18.163952,"Bahamas, The"
2007,22.7851651,"Bahamas, The"
2008,20.93634205,"Bahamas, The"
2009,24.51698717,"Bahamas, The"
2010,26.05090458,"Bahamas, The"
2011,34.64568648,"Bahamas, The"
2012,29.83558175,"Bahamas, The"
2013,31.544905100000005,"Bahamas, The"
2014,32.18471409,"Bahamas, The"
2015,37.74189712,"Bahamas, The"
2016,28.40055737,"Bahamas, The"
1995,,Curacao
1996,,Curacao
1997,,Curacao
1998,,Curacao
1999,,Curacao
2000,,Curacao
2001,7.67595201,Curacao
2002,30.27268705,Curacao
2003,33.58823943,Curacao
2004,31.992009799999998,Curacao
2005,20.0936674,Curacao
2006,13.64690898,Curacao
2007,19.18847511,Curacao
2008,,Curacao
2009,,Curacao
2010,,Curacao
2011,,Curacao
2012,,Curacao
2013,,Curacao
2014,,Curacao
2015,,Curacao
2016,,Curacao
1995,,St. Lucia
1996,,St. Lucia
1997,,St. Lucia
1998,,St. Lucia
1999,,St. Lucia
2000,14.65444189,St. Lucia
2001,21.45597738,St. Lucia
2002,26.28894049,St. Lucia
2003,22.36399893,St. Lucia
2004,22.80417378,St. Lucia
2005,25.04367372,St. Lucia
2006,25.99648141,St. Lucia
2007,17.33537373,St. Lucia
2008,23.04692117,St. Lucia
2009,22.80408369,St. Lucia
2010,25.49542241,St. Lucia
2011,26.46233145,St. Lucia
2012,22.30674636,St. Lucia
2013,18.7862917,St. Lucia
2014,19.27208212,St. Lucia
2015,,St. Lucia
2016,,St. Lucia
1995,23.34114433,Puerto Rico
1996,23.25648067,Puerto Rico
1997,19.25195006,Puerto Rico
1998,17.22570964,Puerto Rico
1999,15.59141962,Puerto Rico
2000,18.30403503,Puerto Rico
2001,19.65837585,Puerto Rico
2002,20.57413697,Puerto Rico
2003,20.78015076,Puerto Rico
2004,21.10498499,Puerto Rico
2005,20.47591769,Puerto Rico
2006,19.91950708,Puerto Rico
2007,19.49131408,Puerto Rico
2008,21.81601311,Puerto Rico
2009,24.17927983,Puerto Rico
2010,27.36303483,Puerto Rico
2011,31.40018948,Puerto Rico
2012,27.15292397,Puerto Rico
2013,24.45290687,Puerto Rico
2014,19.01804405,Puerto Rico
2015,16.84936936,Puerto Rico
2016,18.50587138,Puerto Rico
1995,18.50361283,St. Vincent and the Grenadines
1996,22.21214449,St. Vincent and the Grenadines
1997,8.334954019,St. Vincent and the Grenadines
1998,22.24137452,St. Vincent and the Grenadines
1999,12.97870565,St. Vincent and the Grenadines
2000,18.53602476,St. Vincent and the Grenadines
2001,11.11234582,St. Vincent and the Grenadines
2002,18.49351802,St. Vincent and the Grenadines
2003,16.6128288,St. Vincent and the Grenadines
2004,26.71358432,St. Vincent and the Grenadines
2005,23.90936511,St. Vincent and the Grenadines
2006,18.36429247,St. Vincent and the Grenadines
2007,36.68143094,St. Vincent and the Grenadines
2008,14.65671232,St. Vincent and the Grenadines
2009,21.05205349,St. Vincent and the Grenadines
2010,22.86968851,St. Vincent and the Grenadines
2011,19.20597031,St. Vincent and the Grenadines
2012,25.61100541,St. Vincent and the Grenadines
2013,,St. Vincent and the Grenadines
2014,,St. Vincent and the Grenadines
2015,,St. Vincent and the Grenadines
2016,36.45616875,St. Vincent and the Grenadines
1995,,Russian Federation
1996,,Russian Federation
1997,,Russian Federation
1998,,Russian Federation
1999,,Russian Federation
2000,28.06760822,Russian Federation
2001,29.43527074,Russian Federation
2002,30.477658299999998,Russian Federation
2003,28.88549165,Russian Federation
2004,27.25266903,Russian Federation
2005,24.81301376,Russian Federation
2006,20.12518122,Russian Federation
2007,17.72754092,Russian Federation
2008,16.59034894,Russian Federation
2009,14.93506677,Russian Federation
2010,,Russian Federation
2011,,Russian Federation
2012,,Russian Federation
2013,10.97723125,Russian Federation
2014,11.31040911,Russian Federation
2015,11.4804567,Russian Federation
2016,10.8161824,Russian Federation
1995,,Central African Republic
1996,,Central African Republic
1997,,Central African Republic
1998,,Central African Republic
1999,,Central African Republic
2000,,Central African Republic
2001,,Central African Republic
2002,,Central African Republic
2003,,Central African Republic
2004,,Central African Republic
2005,,Central African Republic
2006,,Central African Republic
2007,,Central African Republic
2008,,Central African Republic
2009,,Central African Republic
2010,,Central African Republic
2011,,Central African Republic
2012,,Central African Republic
2013,,Central African Republic
2014,,Central African Republic
2015,,Central African Republic
2016,19.75737596,Central African Republic
1995,12.720574699999998,Dominican Republic
1996,12.81228708,Dominican Republic
1997,12.673033300000002,Dominican Republic
1998,13.46598308,Dominican Republic
1999,12.60320798,Dominican Republic
2000,14.13118552,Dominican Republic
2001,12.59036606,Dominican Republic
2002,14.48096387,Dominican Republic
2003,21.20930979,Dominican Republic
2004,24.59629234,Dominican Republic
2005,25.91591768,Dominican Republic
2006,22.87826989,Dominican Republic
2007,22.21087537,Dominican Republic
2008,24.84299311,Dominican Republic
2009,24.31468921,Dominican Republic
2010,24.99498635,Dominican Republic
2011,25.06209426,Dominican Republic
2012,22.33393567,Dominican Republic
2013,19.238819699999997,Dominican Republic
2014,17.39407202,Dominican Republic
2015,,Dominican Republic
2016,15.1817049,Dominican Republic
1995,22.5875525,Namibia
1996,20.75280354,Namibia
1997,18.66574727,Namibia
1998,22.57876076,Namibia
1999,20.475042600000002,Namibia
2000,20.00782411,Namibia
2001,18.25614037,Namibia
2002,17.63374508,Namibia
2003,,Namibia
2004,17.51916657,Namibia
2005,,Namibia
2006,,Namibia
2007,,Namibia
2008,16.80612427,Namibia
2009,18.15595403,Namibia
2010,14.44893865,Namibia
2011,13.90129449,Namibia
2012,17.1383088,Namibia
2013,,Namibia
2014,,Namibia
2015,,Namibia
2016,,Namibia
1995,14.97295938,Guyana
1996,12.07149618,Guyana
1997,11.92200542,Guyana
1998,15.46974638,Guyana
1999,12.44025941,Guyana
2000,10.0889286,Guyana
2001,10.6345786,Guyana
2002,19.01889121,Guyana
2003,27.79783922,Guyana
2004,17.42827798,Guyana
2005,18.90948217,Guyana
2006,20.41085858,Guyana
2007,15.37702459,Guyana
2008,21.17071367,Guyana
2009,15.69010303,Guyana
2010,18.75277943,Guyana
2011,17.35415832,Guyana
2012,18.45726479,Guyana
2013,20.44636391,Guyana
2014,19.518125,Guyana
2015,19.3880658,Guyana
2016,18.37077608,Guyana
1995,,Eswatini
1996,,Eswatini
1997,,Eswatini
1998,,Eswatini
1999,,Eswatini
2000,,Eswatini
2001,18.82700314,Eswatini
2002,12.95181002,Eswatini
2003,13.24269445,Eswatini
2004,13.33268801,Eswatini
2005,13.7447971,Eswatini
2006,10.79861564,Eswatini
2007,14.93279364,Eswatini
2008,18.72470116,Eswatini
2009,15.83839753,Eswatini
2010,17.29236484,Eswatini
2011,,Eswatini
2012,,Eswatini
2013,,Eswatini
2014,,Eswatini
2015,,Eswatini
2016,,Eswatini
1995,,Paraguay
1996,,Paraguay
1997,,Paraguay
1998,16.70553566,Paraguay
1999,12.11399769,Paraguay
2000,18.76402587,Paraguay
2001,24.30352101,Paraguay
2002,24.90646009,Paraguay
2003,22.91389902,Paraguay
2004,21.19661836,Paraguay
2005,15.30499385,Paraguay
2006,12.61304999,Paraguay
2007,13.12402167,Paraguay
2008,13.775159299999999,Paraguay
2009,13.39787596,Paraguay
2010,11.9326035,Paraguay
2011,10.43887277,Paraguay
2012,10.17365919,Paraguay
2013,9.341544819,Paraguay
2014,8.820947582999999,Paraguay
2015,9.29340173,Paraguay
2016,,Paraguay
1995,,Botswana
1996,,Botswana
1997,,Botswana
1998,,Botswana
1999,,Botswana
2000,,Botswana
2001,12.13720166,Botswana
2002,14.32622097,Botswana
2003,17.29165085,Botswana
2004,14.15818906,Botswana
2005,15.68012967,Botswana
2006,13.85175333,Botswana
2007,14.62588552,Botswana
2008,14.43727262,Botswana
2009,14.59682951,Botswana
2010,15.0382209,Botswana
2011,,Botswana
2012,,Botswana
2013,,Botswana
2014,,Botswana
2015,,Botswana
2016,,Botswana
1995,,Greenland
1996,,Greenland
1997,,Greenland
1998,,Greenland
1999,,Greenland
2000,23.14196707,Greenland
2001,30.18090791,Greenland
2002,21.23217382,Greenland
2003,8.817098117,Greenland
2004,19.34542129,Greenland
2005,17.55895419,Greenland
2006,14.04223201,Greenland
2007,14.05308553,Greenland
2008,14.07434774,Greenland
2009,17.62797913,Greenland
2010,19.42158975,Greenland
2011,1.7682840569999998,Greenland
2012,14.16681424,Greenland
2013,12.40826745,Greenland
2014,7.094462772000001,Greenland
2015,7.09509197,Greenland
2016,5.313722156,Greenland
1995,16.91940488,Mexico
1996,15.45413535,Mexico
1997,14.19929696,Mexico
1998,14.07806997,Mexico
1999,12.43380489,Mexico
2000,10.55548026,Mexico
2001,9.978939151,Mexico
2002,9.666945737999999,Mexico
2003,9.548425545,Mexico
2004,8.719051514,Mexico
2005,9.146119871,Mexico
2006,9.493845251,Mexico
2007,7.928549454,Mexico
2008,12.32252075,Mexico
2009,17.14467851,Mexico
2010,21.95468164,Mexico
2011,22.85078186,Mexico
2012,21.49082499,Mexico
2013,18.82141235,Mexico
2014,16.10830967,Mexico
2015,16.49205139,Mexico
2016,19.263960100000002,Mexico
1995,,"Congo, Dem. Rep."
1996,,"Congo, Dem. Rep."
1997,,"Congo, Dem. Rep."
1998,,"Congo, Dem. Rep."
1999,,"Congo, Dem. Rep."
2000,14.056870000000002,"Congo, Dem. Rep."
2001,,"Congo, Dem. Rep."
2002,,"Congo, Dem. Rep."
2003,,"Congo, Dem. Rep."
2004,,"Congo, Dem. Rep."
2005,14.64962477,"Congo, Dem. Rep."
2006,,"Congo, Dem. Rep."
2007,,"Congo, Dem. Rep."
2008,,"Congo, Dem. Rep."
2009,,"Congo, Dem. Rep."
2010,14.27807775,"Congo, Dem. Rep."
2011,,"Congo, Dem. Rep."
2012,,"Congo, Dem. Rep."
2013,,"Congo, Dem. Rep."
2014,,"Congo, Dem. Rep."
2015,13.5463884,"Congo, Dem. Rep."
2016,,"Congo, Dem. Rep."
1995,,South Sudan
1996,,South Sudan
1997,,South Sudan
1998,,South Sudan
1999,,South Sudan
2000,,South Sudan
2001,,South Sudan
2002,,South Sudan
2003,,South Sudan
2004,,South Sudan
2005,,South Sudan
2006,,South Sudan
2007,,South Sudan
2008,,South Sudan
2009,,South Sudan
2010,,South Sudan
2011,,South Sudan
2012,13.90242311,South Sudan
2013,,South Sudan
2014,,South Sudan
2015,,South Sudan
2016,,South Sudan
1995,,Ecuador
1996,,Ecuador
1997,,Ecuador
1998,,Ecuador
1999,,Ecuador
2000,14.51467764,Ecuador
2001,12.89995802,Ecuador
2002,14.58071643,Ecuador
2003,14.57530591,Ecuador
2004,17.6910618,Ecuador
2005,15.44203873,Ecuador
2006,17.07537795,Ecuador
2007,16.00089768,Ecuador
2008,18.04456697,Ecuador
2009,17.86774803,Ecuador
2010,17.56313656,Ecuador
2011,15.44406123,Ecuador
2012,12.47108725,Ecuador
2013,11.01423761,Ecuador
2014,8.243669541000001,Ecuador
2015,6.53478662,Ecuador
2016,5.853766682000001,Ecuador
1995,,Cote d'Ivoire
1996,,Cote d'Ivoire
1997,,Cote d'Ivoire
1998,,Cote d'Ivoire
1999,,Cote d'Ivoire
2000,16.06773427,Cote d'Ivoire
2001,,Cote d'Ivoire
2002,,Cote d'Ivoire
2003,,Cote d'Ivoire
2004,,Cote d'Ivoire
2005,14.70498526,Cote d'Ivoire
2006,,Cote d'Ivoire
2007,,Cote d'Ivoire
2008,,Cote d'Ivoire
2009,,Cote d'Ivoire
2010,12.62864609,Cote d'Ivoire
2011,,Cote d'Ivoire
2012,,Cote d'Ivoire
2013,,Cote d'Ivoire
2014,,Cote d'Ivoire
2015,11.63052429,Cote d'Ivoire
2016,,Cote d'Ivoire
1995,,Small states
1996,,Small states
1997,,Small states
1998,,Small states
1999,,Small states
2000,,Small states
2001,,Small states
2002,,Small states
2003,,Small states
2004,,Small states
2005,,Small states
2006,,Small states
2007,,Small states
2008,,Small states
2009,,Small states
2010,,Small states
2011,,Small states
2012,14.4,Small states
2013,,Small states
2014,13.0,Small states
2015,13.0,Small states
2016,,Small states
1995,,Mali
1996,,Mali
1997,,Mali
1998,,Mali
1999,,Mali
2000,12.88392351,Mali
2001,,Mali
2002,,Mali
2003,,Mali
2004,,Mali
2005,12.68457332,Mali
2006,,Mali
2007,,Mali
2008,,Mali
2009,,Mali
2010,12.17992521,Mali
2011,,Mali
2012,,Mali
2013,,Mali
2014,,Mali
2015,10.90317598,Mali
2016,,Mali
1995,,Suriname
1996,,Suriname
1997,,Suriname
1998,,Suriname
1999,,Suriname
2000,14.39488558,Suriname
2001,16.53619123,Suriname
2002,11.80016727,Suriname
2003,12.28672297,Suriname
2004,9.318720499,Suriname
2005,13.82915185,Suriname
2006,12.29409863,Suriname
2007,8.828636172000001,Suriname
2008,8.34711578,Suriname
2009,,Suriname
2010,,Suriname
2011,,Suriname
2012,,Suriname
2013,,Suriname
2014,,Suriname
2015,,Suriname
2016,,Suriname
1995,15.24679537,Nicaragua
1996,13.98641585,Nicaragua
1997,14.07312512,Nicaragua
1998,13.00925958,Nicaragua
1999,11.23183836,Nicaragua
2000,9.469252382999999,Nicaragua
2001,10.52786355,Nicaragua
2002,10.71207452,Nicaragua
2003,12.11628813,Nicaragua
2004,12.16640554,Nicaragua
2005,13.551878599999998,Nicaragua
2006,13.24719355,Nicaragua
2007,12.92984959,Nicaragua
2008,13.15576389,Nicaragua
2009,14.15315514,Nicaragua
2010,13.68138546,Nicaragua
2011,12.70700538,Nicaragua
2012,11.45121036,Nicaragua
2013,9.990334268,Nicaragua
2014,8.729635216,Nicaragua
2015,8.615537397999999,Nicaragua
2016,7.367124637000001,Nicaragua
1995,15.36495408,Kazakhstan
1996,16.70639713,Kazakhstan
1997,16.66808097,Kazakhstan
1998,16.58020742,Kazakhstan
1999,15.74022972,Kazakhstan
2000,15.44095072,Kazakhstan
2001,14.36172982,Kazakhstan
2002,13.02162205,Kazakhstan
2003,13.07088708,Kazakhstan
2004,13.59035107,Kazakhstan
2005,,Kazakhstan
2006,,Kazakhstan
2007,,Kazakhstan
2008,11.29291997,Kazakhstan
2009,10.94279636,Kazakhstan
2010,8.457845172999999,Kazakhstan
2011,8.529870766,Kazakhstan
2012,7.481748168999999,Kazakhstan
2013,6.508881689,Kazakhstan
2014,5.169324246,Kazakhstan
2015,4.805729105,Kazakhstan
2016,,Kazakhstan
1995,14.08331795,Panama
1996,9.078539248,Panama
1997,11.30155122,Panama
1998,9.882965987,Panama
1999,9.828819893,Panama
2000,9.866856832,Panama
2001,9.90392545,Panama
2002,11.93929377,Panama
2003,10.50114453,Panama
2004,9.420282541,Panama
2005,10.92940475,Panama
2006,6.515512669,Panama
2007,8.078042577,Panama
2008,14.02054678,Panama
2009,15.70102126,Panama
2010,12.62618638,Panama
2011,14.80669576,Panama
2012,16.88339432,Panama
2013,17.27254301,Panama
2014,14.5492325,Panama
2015,11.26157618,Panama
2016,9.669590586,Panama
1995,,Mauritania
1996,,Mauritania
1997,,Mauritania
1998,,Mauritania
1999,,Mauritania
2000,13.70114061,Mauritania
2001,,Mauritania
2002,,Mauritania
2003,,Mauritania
2004,,Mauritania
2005,12.38683845,Mauritania
2006,,Mauritania
2007,,Mauritania
2008,,Mauritania
2009,,Mauritania
2010,10.86879296,Mauritania
2011,,Mauritania
2012,,Mauritania
2013,,Mauritania
2014,,Mauritania
2015,9.941685762,Mauritania
2016,,Mauritania
1995,,Seychelles
1996,,Seychelles
1997,,Seychelles
1998,,Seychelles
1999,,Seychelles
2000,,Seychelles
2001,,Seychelles
2002,,Seychelles
2003,,Seychelles
2004,11.43066161,Seychelles
2005,,Seychelles
2006,10.03803299,Seychelles
2007,8.861222183999999,Seychelles
2008,6.6162362439999995,Seychelles
2009,15.37886943,Seychelles
2010,9.846288496,Seychelles
2011,17.42274103,Seychelles
2012,4.3343988730000005,Seychelles
2013,19.40386999,Seychelles
2014,17.15744097,Seychelles
2015,7.467303877000001,Seychelles
2016,12.73687942,Seychelles
